district,Zone,Geographical Region,Disaster,region,village,Date,Source,Data Cards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses USD,Losses Local,Education centers,Hospitals,Damages in crops Ha.,Region
Ilam,Mechi,Hill,LANDSLIDE,Eastern Region,,09/12/88,Gorkhapatra 1988-9-13 Yr-88No-131,1.0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Nawalparasi,Lumbini,Terai,EPIDEMIC,Western Region,DUMKIBAS,09/13/88,Gorkhapatra 1988-9-14 Yr-88No-132,1.0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Chitawan,Narayani,Terai,EPIDEMIC,Central Region,BHARATPUR N.P.,09/13/88,Gorkhapatra 1988-9-14 Yr-88No-132,1.0,2,5,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Sunsari,Kosi,Terai,STRUCT.COLLAPSE,Eastern Region,,09/13/88,Gorkhapatra 1988-9-14 Yr-88No-132,1.0,2,0,0,13,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Solukhumbu,Sagarmatha,Mountain,FLOOD,Eastern Region,Namche,09/12/88,Gorkhapatra 1988-9-14 Yr-88No-132,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Eastern
Kailali,Seti,Terai,FIRE,Far Western Region,DHANGADHI MUNICIPALITY,08/07/93,Gorkhapatra 1993-8-9Y-93N-95,1.0,0,0,0,0,0,0,0,0,0,0,15600.0,0,0,0.0,Far-Western
Baitadi,Mahakali,Hill,EPIDEMIC,Far Western Region,BHUMIRAJ,08/08/93,Gorkhapatra 1993-8-10Y-93N-97,1.0,6,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Far-Western
Rautahat,Narayani,Terai,FLOOD,Central Region,DHARMAPUR,08/10/93,Gorkhapatra 1993-8-11Y-93N-98,1.0,0,0,0,22,0,0,0,0,1000,0,0.0,0,0,0.0,Central
Dhading,Bagmati,Hill,LANDSLIDE,Central Region,,08/09/93,Gorkhapatra 1993-8-11Y-93N-98,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Dang,Rapti,Terai,FIRE,Mid-Western Region,HAPUR,08/06/93,Gorkhapatra 1993-8-11Y-93N-98,1.0,0,0,0,1,0,0,5,0,0,0,57400.0,0,0,0.0,Mid-Western
Lalitpur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,Lamatar,08/09/93,Gorkhapatra 1993-8-11Y-93N-98,1.0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0.0,Central
Nawalparasi,Lumbini,Terai,FLOOD,Western Region,TRIBENI_SUSTA,08/10/93,Gorkhapatra 1993-8-12Y-93N-99,1.0,0,0,0,0,0,0,189,0,0,0,0.0,0,0,0.0,Western
Jumla,Karnali,Mountain,EPIDEMIC,Mid-Western Region,CHANDANNATH,08/11/93,Gorkhapatra 1993-8-12Y-93N-99,1.0,4,0,0,0,0,0,100,0,0,0,0.0,0,0,0.0,Mid-Western
Mahottari,Janakpur,Terai,STRUCT.COLLAPSE,Central Region,Jaleswar Municipalit,08/10/93,Gorkhapatra 1993-8-12Y-93N-99,1.0,0,0,0,30,0,0,0,0,0,0,0.0,0,0,0.0,Central
Lalitpur,Bagmati,Hill,PLAGUE,Central Region,Gotikhel,08/12/93,Gorkhapatra 1993-8-13Y-93N-100,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Kathmandu,Bagmati,Hill,FIRE,Central Region,KABHARESTHALI,08/12/93,Gorkhapatra 1993-8-13Y-93N-100,1.0,0,0,0,0,1,0,0,0,0,0,400000.0,0,0,0.0,Central
Mahottari,Janakpur,Terai,FLOOD,Central Region,Dhirapur,08/10/93,Gorkhapatra 1993-8-14Y-93N-101,1.0,0,0,0,4,0,0,1323,0,0,0,0.0,0,0,20.0,Central
Solukhumbu,Sagarmatha,Mountain,STRUCT.COLLAPSE,Eastern Region,Salleri,08/11/93,Gorkhapatra 1993-8-14Y-93N-101,1.0,0,0,0,0,0,0,0,0,0,0,150000.0,0,0,0.0,Eastern
Lalitpur,Bagmati,Hill,STRUCT.COLLAPSE,Central Region,Chandanpur,08/10/93,Gorkhapatra 1993-8-14Y-93N-101,1.0,1,0,0,6,0,0,0,0,0,0,0.0,0,0,0.0,Central
Saptari,Sagarmatha,Terai,FLOOD,Eastern Region,BHANGAHA,08/22/93,Gorkhapatra 1993-8-25Y-93N-112,1.0,0,0,0,0,0,0,1960,0,0,0,0.0,0,0,10.0,Eastern
Saptari,Sagarmatha,Terai,FLOOD,Eastern Region,RAJBIRAJ MUNICIPALITY,08/22/93,Gorkhapatra 1993-8-25Y-93N-112,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,20.0,Eastern
Jhapa,Mechi,Terai,FLOOD,Eastern Region,MECHI MUN.,08/22/93,Gorkhapatra 1993-8-25Y-93N-112,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,135.0,Eastern
Kaski,Gandaki,Hill,FLOOD,Western Region,LACHOK,08/24/93,Gorkhapatra 1993-8-26Y-93N-113,1.0,0,0,0,0,0,0,0,0,0,0,600000.0,0,0,0.0,Western
Bara,Narayani,Terai,FLOOD,Central Region,AMLEKHGANJ,08/23/93,Gorkhapatra 1993-8-26Y-93N-113,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Central
Bajura,Seti,Mountain,FIRE,Far Western Region,Kotila,08/23/93,Gorkhapatra 1993-8-26Y-93N-113,1.0,1,1,0,1,0,0,0,0,0,0,19000.0,0,0,0.0,Far-Western
Nawalparasi,Lumbini,Terai,FLOOD,Western Region,PRASAUNI,07/16/93,Gorkhapatra 1993-8-28Y-93N-115,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,Western
Nawalparasi,Lumbini,Terai,FLOOD,Western Region,BHUJAHAWA,08/23/93,Gorkhapatra 1993-8-28Y-93N-115,1.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,15.0,Western
Gulmi,Lumbini,Hill,STRUCT.COLLAPSE,Western Region,MUSIKOT,08/22/93,Gorkhapatra 1993-8-28Y-93N-115,1.0,0,0,0,4,0,0,22,0,0,0,0.0,0,0,0.0,Western
Gorkha,Gandaki,Hill,LANDSLIDE,Western Region,,08/23/93,Gorkhapatra 1993-8-28Y-93N-115,1.0,0,0,0,10,0,0,118,0,0,0,0.0,0,0,0.0,Western
Bara,Narayani,Terai,FLOOD,Central Region,,08/22/93,Gorkhapatra 1993-8-28Y-93N-115,1.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,288.0,Central
